user,text
MarkGlasstette5,"@SpeakerMcCarthy Translation is we rich white Racist do not want, our kids near your kids. There is no law that sti… https://t.co/VyDpbOSYWM"
SchulzeChuck,"@SpeakerMcCarthy You mean as a parent and congressman, right. As a speaker, you gave away the house to sit in the chair."
schachin,RT @ChidiNwatu: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepChr…
glitch942003,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/dsIOuL8HnR
schachin,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/GxFzKhzd8P
DanielJMiller10,@SpeakerMcCarthy Give it up DeVos.
Shirley08205323,@SpeakerMcCarthy is A PUSSY!!!!!
Mainebabe12,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/CPOeGwIN5m
sendylinkydinky,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/kWrLzJmSkn
derekbauman,@SpeakerMcCarthy Let’s leave that to the locally elected school board and keep congress out of it.
OptimisticVoter,RT @Angry_Staffer: @SpeakerMcCarthy Or the FBI searching your guy’s properties?
SophiaBarocca,"@SpeakerMcCarthy   Large Marge stole your pants, nuts and gavel https://t.co/SsbCe6XkVm"
OptimisticVoter,"RT @Angry_Staffer: @SpeakerMcCarthy As long as they aren’t USCP officers being assaulted by your guy’s supporters, right?"
ShanbromJ,@SpeakerMcCarthy Please do not allow the two Democrat scum back on any committees. Schiff and Swalwell are pathological.
Mainebabe12,@SpeakerMcCarthy if you allow @RepSwalwell and @RepAdamSchiff on the Intel committee I hope they VOTE YOU OUT.
endgame154,"@SpeakerMcCarthy @RepMichaelGuest ""Maintain standards""  - most of the GOP in Congress have no standards. Will he be… https://t.co/P4KL2g79cF"
dar4service,"@SpeakerMcCarthy If only this wasn’t a #DogWhistle code to defund public education, esp in black and brown communit… https://t.co/nPf9EK80dc"
platogue,RT @JimWrig08299591: @SpeakerMcCarthy https://t.co/hVdEo256to
AmenWokeJesus,@SpeakerMcCarthy America is not impressed with the Republicans clown show
donnepacem,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/geKPR77weU
Tabinormal2,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/uT1eigMLLU
sendylinkydinky,@SpeakerMcCarthy And it is working you fear monger liars with your woke bs sit doen with your bs lies parent do what’s best always
AimInFilm,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/CPDFRllRJ6
LunaG23,@SpeakerMcCarthy I don’t want my tax dollars to go to FOR PROFIT SCHOOLS!   If you want to indoctrinate your child… https://t.co/v75Wd270h6
NDMIKE72,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/AH04nK0ImY
BlaqueIcedQuofi,RT @DanielleCandela: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @R…
Token_Wizdom,@SpeakerMcCarthy Typically the people who want school choice already have the ability to send their kids to private… https://t.co/Abo0lQYIrx
endgame154,"@SpeakerMcCarthy Schools should be empowered to teach children to think for themselves and question everything, not… https://t.co/uDvRKCy1tC"
CitizenGaines,RT @PalimenoForGAD1: @SpeakerMcCarthy Dude he has kept Trump’s policies what are you talking about? I guess you realize Title 42 is a terri…
CitizenGaines,"RT @DebbieSVA: @SpeakerMcCarthy Under Trump 👇👇  After a temporary lull in migration during the pandemic, October 2020 saw a significant jum…"
deplorabledg,@SpeakerMcCarthy This is why we didn’t want you for speaker. @GOP - not that you care what Americans want
CitizenGaines,RT @demandjusticexo: @SpeakerMcCarthy Santos uses several names &amp; we don't know if he's a US Citizen. Plus he's a wanted CRIMINAL from Braz…
CitizenGaines,RT @jdkahler: @SpeakerMcCarthy It’s no coincidence you use false figures (fentanyl? 90% is carried by citizens and through POE elsewhere) a…
Sharon30722539,@SpeakerMcCarthy They already do that. 🤦🏼‍♀️
CitizenGaines,@SpeakerMcCarthy So what did yall do while you had majorities in Congress and a Republican president?  NOTHING
Cbslpg,@SpeakerMcCarthy @RepMichaelGuest So presumably George Santos will be soon investigated and booted out accordingly… https://t.co/Gcvp0LF1wQ
ThePoliticalHQ,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/YB0BzX9ySC
CmdrHaven,"@SpeakerMcCarthy #1. Investigate ALL past Presidents, Vice Presidents, Congressmen, and anyone who has access to cl… https://t.co/WQSNLxUGSc"
deplorabledg,@SpeakerMcCarthy RINO. The good times are over. Why can’t you do the right thing for America? Put Amercia 1st inste… https://t.co/sAvOD4Ben8
GTCurtis7,"@SpeakerMcCarthy ""Kevin basically is whatever you want him to be. He lies. He’ll change the lie if necessary. How c… https://t.co/epbKWCnARx"
CitizenGaines,@SpeakerMcCarthy People in your district and many others need water.  Like for survival.   Mayorkas can't fix a 50… https://t.co/cAmNl5wWsj
