user,text
MattOVOXO,"RT @ForTexasHoujami: @POTUS Mr President, Your Tweet is dividing.  You remember your war on our oil production, that wasn't republicans tha…"
themodernsto1c,@POTUS Now fix the homeless issue.
MattOVOXO,"RT @ForTexasHoujami: @POTUS Mr President, Another of your MISLEADING Tweets 😆  You failed to keep our Emergency Oil Reserves at normal leve…"
DHATBOISaul_5,"RT @ForTexasHoujami: @POTUS Mr President, Why You are not telling the whole story?  -&gt;Proposal will ABOLISH ALL THE TAXES Americans are alr…"
andyxshmurda,"RT @LPNational: @POTUS You blamed Putin when prices went up a lot, but take credit when they come down a little.   Even when they're not cl…"
NMSportster,RT @JoForLiberty: @POTUS But the president doesn't impact gas prices. At least that was your stance when the price was high. Interesting th…
tpayne7277,@POTUS Now If you could just figure out how to deliver food and heat to every home In America; and formula to every… https://t.co/Ylgt9X63uW
GdukeD0614,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
Javidsonanthony,@POTUS Thanks Joe
LaosaMarilu,@POTUS Cuban Dictatorship supports Russian invasion to Ukraine. Cuban communist dictatorship violates fundamental H… https://t.co/SBl4JYNR5F
ThomasGuitarPDX,"@POTUS So you brought prices BACK down from your screw up on gas, now when do we see inflation to a full swing back? Never"
Anthony37174274,@POTUS Uh uh uh who took my false teeth
86troll,@POTUS internet should be free
LoehmannRobert,@POTUS Lol your a ball face lair.
GoldfingerMarko,RT @MarkoSilberhand: @POTUS . Enough . . . Enough . . . Enough !  Monterey Park is just the latest of countless #MassShootings . . . ... an…
Snowqueen256,@POTUS Your actions are the reason gas prices went up! Don’t expect any praise here……
AaronDBennett,@POTUS Create the IFA Act (Internet For All).  Promise free high speed internet.  Add an extra $50B in the bill.
neccepooh1,"RT @TommyPigott: @POTUS No parent should be forced to choose between paying for food, gas, or rent, but that's exactly what Biden's inflati…"
Blue973546,@POTUS If every rioter in ATL is not jailed and fully prosecuted then we need to impeach biden. That’s a crime in i… https://t.co/Qixo6IACkx
StoddThe,@POTUS Who’s war?
TheRealJ0EBlDEN,@POTUS Translation: hey guys we fucked everything so hard being back down only 1.60 seems like a lot especially wit… https://t.co/X9fwjctPFx
JANWEAV23114918,@POTUS We're fine.
pensfan2169,@POTUS Joe u are destroying this country with ur radical spending!
BettyMo36287577,@POTUS And who's having to pay for it not this corrupted administration.
AngryAsian365,@POTUS Because it hasn't been working since construction?  Or is that the cost of painting it rainbow
FarmlandFrank,@POTUS More lies and propaganda..please resign immediately for the sake of our country!
1030478480abc,@POTUS That means it's all the Republicans' or Putin's fault if the prices rise in the future.
itchierichie10,"@POTUS Liar. I’m a senior citizen and my meds have increased by 150 percent since YOU took office. Same meds, same drug store. STOP LYING!!!"
RilesZrk,@POTUS Lie. You &amp; Congressional Dems (&amp; RINOS) caused the inflation. Now you’re crowing about a slight decrease? In… https://t.co/scMshJqRxG
DeneseS87299995,@POTUS Funny coming from you or anyone else in the current administration since you spend money hand over fist.
kwakwak78540204,@POTUS Is a 18 year-old high schooler in charge of this account?
SkyRaged,@POTUS https://t.co/sZ8BtuZAOs
lorac328,@POTUS @JOEBIDEN @VP @WhiteHouse  @WHCOS https://t.co/i3UlSsh0gX
goterrands2,"RT @AngryIrishman37: @POTUS Is this prevalent in the ""racial jungles"" you didn't want your kids growing up in in 1977?"
cam888cme,@POTUS Yes sir. Ok sir. Everyone be respectful to their chosen president. He is sick. He has dementia. They’re in t… https://t.co/RJPrMDmZ5R
HawksWoof12,@POTUS Suck it!
JANWEAV23114918,@POTUS Give that boy an ice cream cone!
CosmoWalkling,"@POTUS They are not down. They are actually up $1.75 since you destroyed our economy, Papa Oscar Sierra."
BrandonRodf,@POTUS you created the inflation in the first place. you did nothing.
Raymond36398942,@POTUS So invest in oil and petroleum coz prices are gone rise again 🤔
Fergi6560,@POTUS https://t.co/5ayDkb6fun
IndiaFi47688004,RT @IndiaFi47688004: @POTUS Get rid of Pakistan and it's #. Nuclear Bombs Technology Technocrats Make Pakistan 53 Rd state Hindustan should…
LocustGap88,"@POTUS No, they’re once again heading back to those previous high prices. Time for you and the rest of your con men to go Quid Pro Joe!  🤬"
2Echo68Whiskey,@POTUS Any word on the the cost per unit of natural gas which has more than doubled over the past year?
Lifewdonna,@POTUS The dreams are there but how many of those businesses made it to 2023. That number is not a statistic.
AjayKum42076222,RT @AjayKum42076222: @POTUS Good Afternoon Mr. President Joe Biden. Regards Ajay Kumar. Y You.
Leslie16568783,@POTUS Is this a joke?
IndiaFi47688004,@POTUS Get rid of Pakistan and it's #. Nuclear Bombs Technology Technocrats Make Pakistan 53 Rd state Hindustan sho… https://t.co/BcrugRwB4m
privette_lyle,@POTUS https://t.co/ZJEbg3LpA2
mtpocketsnd,@POTUS It wasn't Putins war that caused prices of oil to rise. It was you pulling pipeline permits and not allowing… https://t.co/LJNA6J1aXl
AjayKum42076222,@POTUS Good Afternoon Mr. President Joe Biden. Regards Ajay Kumar. Y You.
dailysouthafric,@POTUS Library! #nuffsaid
TerryGi79021669,"RT @ForTexasHoujami: @POTUS Mr President, Another of your MISLEADING Tweets 😆  You failed to keep our Emergency Oil Reserves at normal leve…"
911DumpsterFire,@POTUS Speaking of utilites... #ImpeachBiden   https://t.co/zKchXIyUUD
ClownWorld55,@POTUS You get ratio’d 2-3 times a day 🤣
AngryIrishman37,"@POTUS Is this prevalent in the ""racial jungles"" you didn't want your kids growing up in in 1977?"
BXMMA,@POTUS Me looking for this so-called affordable high speed internet https://t.co/cqxKtnmgxP
JohnP14410592,@POTUS BIDEN SAID LOOK AMERICA THEY GOT ME SO HOPPED UP I LOOKIN LIKE A YOUNG PERSON HA HA HA. THE PUSH IS ON TO MA… https://t.co/AwLJP0STxI
jgionova,"RT @Crystal_McG1776: @POTUS Go back to the basement Sleepy, and take grumpy, happy, and dopey with you! #disgrace #embarrassment #merica #N…"
shoppingmedia1,"@POTUS Their bill would destroy many families.  Even without income tax, imagine going to a store and paying 30% ov… https://t.co/P7uOHjLzJR"
joel1936,@POTUS The fact that your administration is incapable of telling the truth is simply unacceptable.
TheBeardedD,@POTUS If you didn't cripple or energy industry we would never have been affected by Putin duuuurrrrr 🤥
duvelkater,@POTUS When?
911DumpsterFire,@POTUS Speaking of gas... #ImpeachBiden   https://t.co/zKchXIyUUD
corjar25,@POTUS Democrats have declared war on the working class
JANWEAV23114918,"@POTUS Caused by you, Joey! Trump could control Russia."
SaucyFlurt,@POTUS Well this was yesterday… Guess they’re going back up? https://t.co/rnuES7usl5
StoddThe,"@POTUS Great, now fix our county roads."
Mark18699832,@POTUS Everything u touch. U fail.
realBruceK,"RT @fffhk201906: @POTUS #BidenAdministration, #HongKongers need your help! Please extend the Deferred Enforced Departure (DED) policy so th…"
chechcheck711,"@POTUS Shut up. First of all, you didn't type that personally. Second, it's a flat out like. You are compromised by… https://t.co/W6WUCBgGO7"
Mark18699832,"RT @ForTexasHoujami: @POTUS Mr President, Gas prices still HIGH since you took office with your Failure Energy Policies. https://t.co/nhEAL…"
MattOVOXO,"RT @aubrey_huff: @POTUS Lower it down to Trump gas prices &amp; give each American a $10,000 dollar “I fucked up gas prices” check or shut the…"
aknreaper,"@POTUS Its not Putin, it was never Putin,  it is YOU AND THE SWAP. YOUR POLICES destroyed our energy independence.… https://t.co/JdhJuXuM6D"
Mark18699832,@POTUS Tired of ur lies. Ppl don’t believe u
phxgrl1,@POTUS ❤️ https://t.co/mD7xINILzo
RizCoach,@POTUS And all you had to do was kill an economy to get there.
xThrawn,"@POTUS No, they want to prevent your from weakening our country by superfluously emptying various strategic reserve… https://t.co/qUE49204c6"
TurutaYasuko,@POTUS ありがとうございますバイデン大統領も元気でいてくださいお願いします
gangstershark_,@POTUS Hurry tf up these eggs getting expensive
LaiKejil,@POTUS Germany and France should let their tanks and weapons go to the grave with cowardice. Nato is now a politica… https://t.co/rIloK5mJsO
MrThomasDuke,@POTUS Stop the BS and restart the keystone pipeline as well as allowing oil drilling and fracking!  Build more nuc… https://t.co/bP4Rx63985
ParmeterSr,@POTUS That's why education should not be the federal government's job. #EndTheFed
freedomtosnobb,"@POTUS Joe I had to do that a few months ago just to update my iPhone.   If you could like, fix it, so I could upda… https://t.co/4tYxGur463"
billmello3,@POTUS Typical. Of course you have no problem spending other people’s money.
harpur_sean,@POTUS They want to maintain the critical and crucial reserves for national defence purposes. They DON'T want you t… https://t.co/i0iVwGLTSX
Nikos_bouz_74,@POTUS Your word as a Biden dosnt mean anything to anyone coz your a compulsive liar &amp; you always have been.enough… https://t.co/fDbNLTeMxx
milosisfrlovers,"@POTUS Wait, I thought presidents don't control oil prices, and it was Putin's inflation. What happened?"
zachoshi,"@POTUS Without mentioning the elimination of income tax &amp; IRS, POTUS is extremely misleading &amp; dishonest. 👎"
imswaciey,@POTUS https://t.co/MKdLXBWvCh
LibelTrump,@POTUS has never been in a fight in his life https://t.co/LGqheRArH0
mammafem,@POTUS Not my family
salas_venita,RT @divamanager: @POTUS Just amazing you care so much BIG GUY
AndrewMaculans,@POTUS Keep going Joe!
Jrock06227582,@POTUS Financed by we the people so it should be zero plus revenues on the charge of non tax payers
BKatakis,RT @angelkitty39: @POTUS @WhiteHouse what is to be done about the Supreme Court. This court is compromised and corrupt something must be do…
SSGUBRANMOHAMM1,@POTUS 👍🙂💲
HeidiL_RN,@POTUS They do if they’ve been forced to live in their cars due to your awful policy and inflation
King_Keldrick,@POTUS Can you get some of those “UNITED STATES CITIZEN” tax dollars back from Ukraine ungrateful asses to restore… https://t.co/Xh1z9NbKsI
DebbieCorsetti,"@POTUS Yes, you need to keep working to lower costs for Americans because this is THE WORST inflation I have seen i… https://t.co/scgqvYLfXd"
JANWEAV23114918,"@POTUS They're going up, Joey. Keep up!"
Team14k_Mom,RT @Team14k_Mom: @POTUS Today's gas and diesel prices per the https://t.co/iiMp0MdTM4 website. See all the red arrows??? Gas prices are on…
deadshallrisea1,@POTUS You can't call old jobs that were suspended during covid that now is coming back is new jobs...stop bragging… https://t.co/nRjUoijyDB
PaulBro72701423,@POTUS Stolen any more classified documents lately?
